Year,Month,Date,ET0_mm,,,
1990,1,1990-02-01,229.1,,,
1990,2,1990-03-04,155.9,,,
1990,3,1990-04-04,167.9,,,
1990,4,1990-05-05,81.3,,,
1990,5,1990-06-05,40.9,,,
1990,6,1990-07-06,31.5,,,
1990,7,1990-08-06,39.8,,,
1990,8,1990-09-06,58,,,
1990,9,1990-10-07,88.4,,,
1990,10,1990-11-07,158.3,,,
1990,11,1990-12-08,216.1,,,
1990,12,1991-01-01,95.3,,,
1991,1,1991-02-01,242.4,,,
1991,2,1991-03-04,222.8,,,
1991,3,1991-04-04,146.8,,,
1991,4,1991-05-05,87.4,,,
1991,5,1991-06-05,49.6,,,
1991,6,1991-07-06,30.5,,,
1991,7,1991-08-06,34.6,,,
1991,8,1991-09-06,59.5,,,
1991,9,1991-10-07,91.2,,,
1991,10,1991-11-07,158.6,,,
1991,11,1991-12-08,204.8,,,
1991,12,1992-01-01,93.8,,,
1992,1,1992-02-01,206.2,,,
1992,2,1992-03-03,202.8,,,
1992,3,1992-04-03,149.6,,,
1992,4,1992-05-04,85,,,
1992,5,1992-06-04,44.6,,,
1992,6,1992-07-05,29.8,,,
1992,7,1992-08-05,26.8,,,
1992,8,1992-09-05,51,,,
1992,9,1992-10-06,77.4,,,
1992,10,1992-11-06,127.2,,,
1992,11,1992-12-07,145.2,,,
1992,12,1993-01-01,61.4,,,
1993,1,1993-02-01,191,,,
1993,2,1993-03-04,176,,,
1993,3,1993-04-04,120,,,
1993,4,1993-05-05,75.4,,,
1993,5,1993-06-05,35,,,
1993,6,1993-07-06,33.4,,,
1993,7,1993-08-06,34.6,,,
1993,8,1993-09-06,58.6,,,
1993,9,1993-10-07,92.2,,,
1993,10,1993-11-07,119.4,,,
1993,11,1993-12-08,202,,,
1993,12,1994-01-01,63.4,,,
1994,1,1994-02-01,218,,,
1994,2,1994-03-04,199.2,,,
1994,3,1994-04-04,116.8,,,
1994,4,1994-05-05,85.4,,,
1994,5,1994-06-05,51,,,
1994,6,1994-07-06,26.2,,,
1994,7,1994-08-06,33.8,,,
1994,8,1994-09-06,62.4,,,
1994,9,1994-10-07,99.8,,,
1994,10,1994-11-07,157.8,,,
1994,11,1994-12-08,252.2,,,
1994,12,1995-01-01,105.8,,,
1995,1,1995-02-01,224.2,,,
1995,2,1995-03-04,211.6,,,
1995,3,1995-04-04,150,,,
1995,4,1995-05-05,69,,,
1995,5,1995-06-05,36.8,,,
1995,6,1995-07-06,29.6,,,
1995,7,1995-08-06,31.6,,,
1995,8,1995-09-06,56.8,,,
1995,9,1995-10-07,84.4,,,
1995,10,1995-11-07,135,,,
1995,11,1995-12-08,191,,,
1995,12,1996-01-01,82.2,,,
1996,1,1996-02-01,214.8,,,
1996,2,1996-03-03,180.8,,,
1996,3,1996-04-03,145.6,,,
1996,4,1996-05-04,63.8,,,
1996,5,1996-06-04,35.6,,,
1996,6,1996-07-05,28.4,,,
1996,7,1996-08-05,27.6,,,
1996,8,1996-09-05,56.1,,,
1996,9,1996-10-06,84.4,,,
1996,10,1996-11-06,140.4,,,
1996,11,1996-12-07,188.1,,,
1996,12,1997-01-01,94.5,,,
1997,1,1997-02-01,246.6,,,
1997,2,1997-03-04,224.6,,,
1997,3,1997-04-04,141.8,,,
1997,4,1997-05-05,91,,,
1997,5,1997-06-05,38.6,,,
1997,6,1997-07-06,28.2,,,
1997,7,1997-08-06,34.4,,,
1997,8,1997-09-06,56.6,,,
1997,9,1997-10-07,105.1,,,
1997,10,1997-11-07,159.8,,,
1997,11,1997-12-08,218,,,
1997,12,1998-01-01,104.2,,,
1998,1,1998-02-01,241.4,,,
1998,2,1998-03-04,237.2,,,
1998,3,1998-04-04,173.8,,,
1998,4,1998-05-05,74.6,,,
1998,5,1998-06-05,41.6,,,
1998,6,1998-07-06,26.4,,,
1998,7,1998-08-06,32,,,
1998,8,1998-09-06,56,,,
1998,9,1998-10-07,92,,,
1998,10,1998-11-07,149.6,,,
1998,11,1998-12-08,200.6,,,
